temperature_2m_max,temperature_2m_min,windspeed_10m_max,relative_humidity_2m_max,rained_tomorrow
5.8,0.3,11.4,95,1
3.8,-0.4,8.5,96,0
3.9,1.4,10.0,94,1
4.4,1.3,13.1,96,0
8.0,-0.9,11.7,98,1
3.2,-0.6,22.7,98,1
1.5,-1.6,33.0,89,0
-1.6,-10.9,20.2,85,1
2.5,-10.9,14.8,90,1
3.7,-4.0,13.8,87,0
1.0,-9.1,14.1,98,0
2.8,-6.5,4.4,100,1
3.2,-4.1,16.6,100,0
-2.0,-9.9,12.4,71,1
1.2,-6.1,8.5,99,1
8.6,0.5,9.2,99,1
5.8,2.4,14.0,100,1
5.9,2.5,17.5,96,0
9.6,2.7,11.2,96,1
20.5,9.2,15.2,98,0
21.0,4.2,11.5,83,0
24.4,6.5,10.6,84,1
22.3,11.3,14.3,86,1
18.1,1.5,22.8,99,1
5.4,-1.9,19.8,75,0
10.6,2.8,26.7,82,0
7.1,1.1,16.8,79,1
17.5,7.4,27.8,99,1
13.6,-0.4,33.1,94,0
2.3,-4.0,11.8,73,0
4.8,-2.0,9.1,81,1
12.8,0.6,17.7,89,1
14.1,6.4,16.6,98,1
16.5,5.1,19.0,95,1
10.5,1.5,17.5,95,0
8.2,-0.3,14.8,72,0
10.6,0.6,17.2,82,0
22.5,6.4,20.0,76,1
18.0,4.3,20.1,93,0
6.1,-1.8,18.4,65,0
12.5,-1.5,14.2,77,0
21.0,6.9,19.6,76,1
26.6,15.1,19.7,77,1
26.6,12.9,18.8,72,1
12.2,5.8,21.7,89,1
21.2,5.4,22.3,91,0
22.4,6.9,19.9,86,1
15.9,6.3,14.8,96,0
12.9,4.0,21.1,69,0
11.8,1.2,23.3,87,0
9.4,-1.5,14.3,72,0
